"","X1","gender","Age","attitude","deep","stra","surf","Points"
"1",1,"F",53,3.375,3.58333333333333,3.375,2.58333333333333,25
"2",2,"M",55,2.75,2.91666666666667,2.75,3.16666666666667,12
"3",3,"F",49,3.625,3.5,3.625,2.25,24
"4",4,"M",53,3.125,3.5,3.125,2.25,10
"5",5,"M",49,3.625,3.66666666666667,3.625,2.83333333333333,22
"6",6,"F",38,3.625,4.75,3.625,2.41666666666667,21
"7",7,"M",50,2.25,3.83333333333333,2.25,1.91666666666667,21
"8",8,"F",37,4,3.25,4,2.83333333333333,31
"9",9,"M",37,4.25,4.33333333333333,4.25,2.16666666666667,24
"10",10,"F",42,3.5,4,3.5,3,26
"11",11,"M",37,3.625,3.58333333333333,3.625,2.66666666666667,31
"12",12,"F",34,4.75,3.83333333333333,4.75,2.41666666666667,31
"13",13,"F",34,3.625,4.25,3.625,2.25,23
"14",14,"F",34,3.5,3.33333333333333,3.5,2.75,25
"15",15,"M",35,1.75,4.16666666666667,1.75,2.33333333333333,21
"16",16,"F",33,3.875,3.66666666666667,3.875,2.33333333333333,31
"17",17,"F",32,1.375,4.08333333333333,1.375,2.91666666666667,20
"18",18,"F",44,3.25,3.5,3.25,2.5,22
"19",19,"M",29,3,4.08333333333333,3,3.75,9
"20",20,"F",30,3.75,4,3.75,2.75,24
"21",21,"M",27,2.625,3.91666666666667,2.625,2.33333333333333,28
"22",22,"M",29,2.375,4,2.375,2.41666666666667,30
"23",23,"F",31,3.625,4,3.625,3,24
"24",24,"F",37,2.75,3.66666666666667,2.75,2.41666666666667,9
"25",25,"F",26,1.75,3.66666666666667,1.75,2.83333333333333,26
"26",26,"F",26,3.25,4.41666666666667,3.25,3.16666666666667,32
"27",27,"M",30,4,3.91666666666667,4,3,32
"28",28,"F",33,3.625,3.75,3.625,2,33
"29",29,"F",33,2.875,3.25,2.875,3.5,29
"30",30,"M",28,3,3.58333333333333,3,3.75,30
"31",31,"M",26,1.625,4.91666666666667,1.625,2.5,19
"32",32,"F",27,3.25,3.58333333333333,3.25,2.08333333333333,23
"33",33,"F",25,3.5,2.91666666666667,3.5,2.41666666666667,19
"34",34,"F",31,3,3.66666666666667,3,2.58333333333333,12
"35",35,"M",20,3.25,4.5,3.25,1.58333333333333,10
"36",36,"F",39,1.875,4.08333333333333,1.875,2.83333333333333,11
"37",37,"M",38,4.375,3.83333333333333,4.375,1.83333333333333,20
"38",38,"M",24,3.625,3.25,3.625,2.41666666666667,26
"39",39,"M",26,2.5,2.33333333333333,2.5,3.25,31
"40",40,"M",25,1.25,3.33333333333333,1.25,3.41666666666667,20
"41",41,"F",30,4,4.08333333333333,4,3.41666666666667,23
"42",42,"F",25,3,2.91666666666667,3,3.16666666666667,12
"43",43,"M",30,2.5,3.33333333333333,2.5,3.5,24
"44",44,"F",48,4.875,3.83333333333333,4.875,2.66666666666667,17
"45",45,"F",24,5,3.66666666666667,5,2.41666666666667,29
"46",46,"F",40,4.375,4.66666666666667,4.375,3.58333333333333,23
"47",47,"M",25,3.25,3.75,3.25,2.08333333333333,28
"48",48,"F",23,4,3.41666666666667,4,3.75,31
"49",49,"F",25,3.125,4.16666666666667,3.125,2.91666666666667,23
"50",50,"F",23,2.5,2.91666666666667,2.5,2.91666666666667,25
"51",51,"M",27,3.125,4.16666666666667,3.125,2.41666666666667,18
"52",52,"M",25,3.25,3.58333333333333,3.25,3,19
"53",53,"M",23,2.125,2.83333333333333,2.125,3.41666666666667,22
"54",54,"F",23,2.75,4,2.75,2.91666666666667,25
"55",55,"F",23,2.375,2.91666666666667,2.375,3.25,21
"56",56,"F",45,3.125,3,3.125,3.25,9
"57",57,"F",22,4,4.08333333333333,4,2.33333333333333,28
"58",58,"F",23,4,2.91666666666667,4,3.25,25
"59",59,"M",21,2.25,3.5,2.25,2.5,29
"60",60,"M",21,3.25,4.33333333333333,3.25,1.75,33
"61",61,"F",21,3.625,4.25,3.625,2.25,33
"62",62,"F",21,3.625,3.41666666666667,3.625,2.08333333333333,25
"63",63,"F",26,2.5,3.08333333333333,2.5,2.83333333333333,18
"64",64,"F",25,1.875,4.58333333333333,1.875,2.83333333333333,22
"65",65,"F",26,2,3.41666666666667,2,2.41666666666667,17
"66",66,"M",21,1.875,3.41666666666667,1.875,2.25,25
"67",67,"F",23,4,3.41666666666667,4,2.83333333333333,28
"68",68,"F",22,2.875,3.58333333333333,2.875,2.25,22
"69",69,"F",22,3.875,1.58333333333333,3.875,1.83333333333333,26
"70",70,"F",22,2.5,3.33333333333333,2.5,2.91666666666667,11
"71",71,"F",23,2.75,4.33333333333333,2.75,2.91666666666667,29
"72",72,"M",22,4.5,4.41666666666667,4.5,2.08333333333333,22
"73",73,"M",23,3.375,4.83333333333333,3.375,2.33333333333333,21
"74",74,"M",24,2.625,3.08333333333333,2.625,2.41666666666667,28
"75",75,"F",22,4.125,3,4.125,2.75,33
"76",76,"F",23,2.625,4.08333333333333,2.625,3.25,16
"77",77,"M",22,2.25,4.08333333333333,2.25,1.75,31
"78",78,"M",20,2.75,3.75,2.75,2.58333333333333,22
"79",79,"M",22,3,3.08333333333333,3,3.33333333333333,31
"80",80,"M",21,1.625,4.75,1.625,2.83333333333333,23
"81",81,"F",22,1.875,4.25,1.875,2.5,26
"82",82,"F",23,3.375,4.16666666666667,3.375,2.41666666666667,12
"83",83,"M",21,3.75,4.41666666666667,3.75,2.41666666666667,26
"84",84,"M",22,2.125,3.83333333333333,2.125,2.58333333333333,31
"85",85,"M",29,2.375,3.33333333333333,2.375,3,19
"86",86,"F",29,2.75,3.16666666666667,2.75,2,30
"87",87,"F",21,3.125,3.16666666666667,3.125,3.41666666666667,12
"88",88,"M",28,3.5,3.83333333333333,3.5,2.83333333333333,17
"89",89,"F",21,2.625,4.25,2.625,2.25,18
"90",90,"F",30,3.375,3.83333333333333,3.375,2.75,19
"91",91,"F",21,2.25,3.66666666666667,2.25,3.91666666666667,21
"92",92,"M",23,3,3.83333333333333,3,2.33333333333333,24
"93",93,"F",21,4,3.83333333333333,4,2.75,28
"94",94,"F",21,3.5,3.83333333333333,3.5,2.75,17
"95",95,"F",20,2.625,3.66666666666667,2.625,2.91666666666667,18
"96",96,"M",22,2.5,4.33333333333333,2.5,2.08333333333333,17
"97",97,"M",21,3.75,3.75,3.75,3.66666666666667,23
"98",98,"M",21,3.625,4.16666666666667,3.625,2.83333333333333,26
"99",99,"F",20,4.125,4,4.125,3.41666666666667,28
"100",100,"M",22,4.375,4,4.375,1.58333333333333,31
"101",101,"F",20,2.625,4.58333333333333,2.625,2.91666666666667,27
"102",102,"F",20,4,3.66666666666667,4,3,25
"103",103,"M",24,2.75,3.66666666666667,2.75,2.91666666666667,23
"104",104,"F",20,2.75,3.83333333333333,2.75,2.66666666666667,21
"105",105,"F",19,1.375,2.58333333333333,1.375,3,27
"106",106,"F",21,2.25,3.5,2.25,2.75,28
"107",107,"F",21,3.625,3.08333333333333,3.625,3.08333333333333,23
